human,name_hu,alias_hu
http://www.wikidata.org/entity/Q2685,Arnold Schwarzenegger,Arnold Alois Schwarzenegger
http://www.wikidata.org/entity/Q2685,Arnold Schwarzenegger,Governor Schwarzenegger
http://www.wikidata.org/entity/Q2040,Giuseppe Farina,Emilio Giuseppe Farina
http://www.wikidata.org/entity/Q2040,Giuseppe Farina,Nino Farina
http://www.wikidata.org/entity/Q4235,Miley Cyrus,Miley Ray Cyrus
http://www.wikidata.org/entity/Q1526,I. Ramszesz,Menpehtiré
http://www.wikidata.org/entity/Q1526,I. Ramszesz,Paramesszu
http://www.wikidata.org/entity/Q1528,III. Ramszesz,Uszermaatré Meriamon
http://www.wikidata.org/entity/Q2831,Michael Jackson,A pop királya
http://www.wikidata.org/entity/Q2831,Michael Jackson,Jacko
http://www.wikidata.org/entity/Q2831,Michael Jackson,Michael Joseph Jackson
http://www.wikidata.org/entity/Q2831,Michael Jackson,MJ
http://www.wikidata.org/entity/Q1430,Marcus Aurelius római császár,Marcus Aurelius
http://www.wikidata.org/entity/Q185,Larry Sanger,Lawrence Mark Sanger
http://www.wikidata.org/entity/Q9960,Ronald Reagan,Ronald Wilson Reagan
http://www.wikidata.org/entity/Q517,I. Napóleon,Bonaparte Napóleon
http://www.wikidata.org/entity/Q1532,IV. Ramszesz,Ramesszisz
http://www.wikidata.org/entity/Q1532,IV. Ramszesz,Hekamaatré
http://www.wikidata.org/entity/Q1514,Janis Joplin,Janis Lyn Joplin
http://www.wikidata.org/entity/Q1268,Frédéric Chopin,Frédéric François Chopin
http://www.wikidata.org/entity/Q1268,Frédéric Chopin,Fryderyk Franciszek Chopin
http://www.wikidata.org/entity/Q1267,Dag Hammarskjöld,Dag Hjalmar Agne Carl Hammarskjöld
http://www.wikidata.org/entity/Q2709,Sasha Grey,Marina Ann Hantzis
http://www.wikidata.org/entity/Q2709,Sasha Grey,Sasha Gray
http://www.wikidata.org/entity/Q4012,Pavel Karlovics Rennenkampff,Paul von Rennenkampf
http://www.wikidata.org/entity/Q192,David Cameron,David William Donald Cameron
http://www.wikidata.org/entity/Q720,Dzsingisz kán,Temüdzsin
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,Fearless Felix
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,Felix Baumgarten
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,Felix Baumgartener
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,Highest sky dive
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,Rettenthetetlen Félix
http://www.wikidata.org/entity/Q4203,Felix Baumgartner,Supersonic Skydive
http://www.wikidata.org/entity/Q16397,Bruce Lee,Lee Jun-fan
http://www.wikidata.org/entity/Q16397,Bruce Lee,Li Xiaolong
http://www.wikidata.org/entity/Q2252,Edwin Aldrin,Edwin Eugene Aldrin
